tweet,label
"<USER> <USER>  ولو كان عمر الشخص 40 وفوق ان تصل متاخرا خير من ان لا تصل، كم   على جدتي المتوفاه اضاعت سنين تنام فوق السجادة",sad
<USER> يا اختي ماتزعفيش مني لو  منك او في شيء سيء اتجاهك ماكنت كلمتك اختلاف الراي لا يفسد الود,anger
"""..    انك بديتي تحسّين اني افكر فيك في كل حزّه  لكن   انك عجزتي تعرفين اللي احسه حب وإلا معزّه !*""""""",happy
"في تويتر كل البنات مرتبطين والشباب ولا واحد مرتبط كيف لا تسالني حتى  ،،،،،،/😂😂😜🙈",surprise
"<USER> لا لا نتعذب كلنا سوا، و بعدين انا لسه مقلتلكش ويلكم واد ايه  ان بقا ليا اخ زملكاوي وسط الوحوش الاهلاوية ال بيفتروا عليا",happy
"""غريغوريو مانزانو عن جماهير الزمالك : """"  للغاية من الجماهير لقد قدموا استعراضات في المدرجات طيلة اللقاء"""" <URL>""",surprise
اه صح بس انا بحب طي وطَ لما اكون  الحكي 😂,disgust
" والحياة لن تتوقّف من اجلي، اعرف .",sad
إنني احيرني  لم   واقذف الاشياء بالجدران واكفر بكل العالم لم يهدم بيتي لم اشرد ولم يقتل ابي امام عيني اهدني يا الله لارضى  اهد عيني,anger
سالت ماما عن اوزباكستان المهم بعدين قاعده اتفرج على اكشن جابو عن بعثة النصر تقول و  ليه تسالي عنها طلع فيها النصر تحسب بتثقف 🚶🏻,surprise
RT <USER> والله   لما يحدث في سيناء للاسف من الخطة الخاطئة التي تواجه بها المجموعات الارهابية .والتي تسمح لصتياد جنودنا .وكا…,sad
<USER> <USER> <USER> <USER> بس اللي  منه الحوثي جالس بيقصفنا بعدن وانتوا بتقصفوا بصنعاء,surprise
احب الي يتكلم بلغة العلم   اشعر اني سانفجر كمستعر اعظم نحن لا نطيق بعضنا كالاقطاب المتشابهة معاً قلبي ينبض كنجم نابض,anger
 من الضفاضع دى يا رب 😢😢,disgust
<USER>  😂😂😂😂 هو منفسن على الميناوين اصلو باين جدا😡😩 بس رجعتي الحمد لله  اما   عليا ليوم الدين😂 مينا عطا #مينا_عطا_في_كلمتين,anger
انا لما بدّي التاكسي ١٠ ج و بيكون حسابه مثلا ٩ وربع بيبقي   مني جدا بيحسسني اني لازم اديله اكتر م العداد وخلاص .. طيب هما ليه مركبينه 😒,disgust
انا شايف الكل زهقان و   حاله و شو الحل ؟,disgust
<USER> مش ح نتكلم سياسه  ,anger
للي يسالوني متى بنفرح فيك ؟ الله يسلمكم  بنفسي كل يوم انتو شوفو اليوم اللي يناسبكم و جيبوا معاكم هدايا واكل وتعالو نفرح مع بعض .,happy
RT <USER> #ShigatsuWaKimiNoUso  لانك كنت انت .. هل وصلت اليك ؟ اتمنى انني وصلت .. اتمنى ذلك .. لانني احبك . <URL>,happy
<USER> انا مش  خالص كان لازم يحصل كل ده علي الاقل نشوف حقيقة ناس كتير  اووووووي بس لا ولامصدومه,disgust
<USER> <USER> دي لو انا كينت ادتهاا باي حاجه في خلقتها وقولها انتي ماليك يارخمه يا رزاله يالهوي  جدااا,anger
واحد يقول كنت في محل اتصالات وجاء واحد محتار يشتري ايفون ولا جالكسي قلت له اخوي تبي نصيحتي قال : لا ومن بعدها و  ونفسيتي تبن ههه,sad
لحد امتى مش هصلى 😒 انا انسان   ولازم يبقى فى موقف اتجاة  الافعال دى والتقصير فى حق ربنا 🚶🏽,disgust
اخوي كان متضايق لما طلعت بس لما شاف الصوره مااات ضحك وقال شيلي اللزقه الي عليها عادي 😂😂&gt;&gt; لهالدرجه  😳🙆   #بطاقة_المراة_من_البلاء,disgust
حركة الي شوفوني  اجرح نفسي و اصور المغذي عشان تشفقون علي رجاء بطلوها ☺️🔫💣,sad
RT <USER> <USER> اولا   من المناقشه التى نناقشها لكى وجه نظر احترمها واعجابى بها كبير وجه النظر هذا ليست مستحيله  هكمل…,happy
RT <USER> انا مش مش عايز اديك…. ولا مش عايز بصراحة….   اديك,disgust
"RT <USER> يوجعني قلبي لما اتمسك بشخص و  يتركني،توجعني فكرة ان الناس كلهم مؤقتين ومجرد عابرين،تقرا طيب طمني وقول انا معاك لين نهاي…",fear
  افرح لحسن الفرحة تزعل مني ..!!,fear
  من المدريدي اللي ينتظر خبر اصابة لوكا؟ ياخي عندكم نجوم ب الدكه افضل من الاساسي .. هذا حنا بوقبا غايب شهرين وماطقينا له خبر .,surprise
<USER> انا مو  منها  من الناس اللي يعزمونها على مدارس ومناسبات ! حتى مو فاشونيستا ! 🌚,surprise
  السكوت على التدخل للغرب والمصيبة الكبرئ ان العرب ساكتين اللهم دمرهم #مليونيه_خلع_الحجاب,surprise
<USER>    اتعدى منك يا عم,fear
<USER> <USER> <USER> عثمان رجاء انا داش المنشن لحد يكلمني ترا   😌😂,anger
واااااااع يزم الله يقرفك لاتبعت اشي الي يا اما بكسرك والله ماتعرف مين انا حتى من قد ما   ما غردتها الك طير يلا اذا تبعت 😠,disgust
يعني ذحين  واضحك ليه يجي ينكد عليا👊,happy
RT <USER> <USER> <USER> <USER>  وراح اموت من الفرح نوره 💙😀,happy
<USER> <USER>  عشانكم! انتو امركو يهمني يا جماعة!,sad
"RT <USER> الناس اللى  من حكم القضاء  النهاردة   منهم جدا  ،،،،،،،، القضاء عندنا فى مصر بيت دعاره ،،،،،، فى... <URL>",surprise
و ..    لو امشيلك سنين ويجف قلبي من الظما وانزف حنين ومانلتقي,fear
#الشيكاويين_اتجننوا_بشيرين الشيكاويين اتجننوا بشيرين   جدا,anger
لكن شتائي هذا العام مُختلف بمسطلح التميّز والاشياء الجميلة والاناقة العاطفيّة * لذلك    () #ظِله,happy
"<USER> اصلا صرخة كريستيانو في الصورة  وصلت لي احداث المباراة وحماسها ولذة النصر والتاهل 😌🙌،  حقًا 😍💙😝😝😂😂😂😂😂",happy
#على فكرة    مع الايام  يزداد الحزن  و اكره  و لو الدنيا على كيفي  ابي افرح و ابي احبك إلى بُكرا و بعد بُكرا,fear
RT <USER>  من ناس كتير ومش عارفة مابعملش انفولو ليه!,disgust
<USER>   منكي غضب الاعصار <URL>,anger
سيميوني :   باداء الفريق خصوصاً وان الكل قدم كل ما لديه ولكن النتيجة لم تكن في صالحنا .,happy
  يستمر صمت الشفايف.. <URL>,fear
"RT <USER> <USER>   حضرة المدرب   من عدم إدراجي في التشكيلة الاساسيه ، اشعر باني افضل و متحمس للعب .. 🚶",anger
<USER> <USER> النفوس مش حلوة   عليك :D,fear
 ف حاجة اغلب السمر الي يزوجو ف الي ابيض منهم العيال الي يجيبوهم تكون بشرتهم سمرة مش بيضة  !,surprise
"  يا ميلينا ،   بلا حدود ، ولهذا اصرخ كثيرا بشان الطهارة  #كافكا  #رسائل_الى_ميلينا",disgust
  جدا: WPS Office 2015 9.1.0.4942.Final   Portable... <URL> (via <USER>,happy
<USER>   عليكى من الخضار ده والله :D,fear
<USER> <USER>  جدا وده عيبي الوحيد,anger
RT <USER>  ليه ماعرضوا سناباته امس بالرياض لآيف ماقصر سجل سنابات كثيره !!! #سناب_دحيم_الخطير,surprise
 من نفسي جداا كيف كنت اسوي ريتويت لتغريدات سامجه جدداااا .. *_* *_* *_* *_*,surprise
"""-م نيب   من الفرقى   ! اصير عادي و امُرّ ، الذاكرة """"عادي"""".....""",fear
<USER> هذا البلا وحنا من يترجم لنا 😂 بس   من المصاريا دكتر علي طلال وكيلر سبايدر وش اللي يحمسهم يكملون ؟ شكلهم طايحين على رزق 😂😂,surprise
RT <USER> لا استطيع ان ابقى بعيده عنك! بينما  منك كثيراً!!!,anger
"""إن كانها الفرقى .. وقــرّب ذهـابك  ما عاد باقي في خفوقي حكي غير  على كثر ما   .. لغيـــــابك على كثر ما آنا ..اتمنى لك الخيـــر""""""",sad
"RT <USER> '  على فكرھ   مع الايام ؛ يزداد الحزن و اكرھ ، و لو الدنيا على كيفي ؟ ابي افرح ، و ابي احبك إلى بكرا ، و بعد بكرا !!",fear
كم   #يارب .... لم اعرف لمن اشتكى #همومي — feeling sad,sad
"RT <USER> مورينيو عن لقطة تمثيل هيريرا :   لانه ليس لاعباً لـ تشيلسي , لو كان لاعباً لـ تشيلسي , لـ قالت عنه Sky بـ انه غشاش ,…",happy
  من الدنيا اذا غبتي انا اكثر من اكثر شخص يحتاجك.,fear
"""السؤال اللي من الصباح فبالي""""ليش  كذا؟"""" ولين الحين مو عارفه ليش….""",happy
  بعد كل هل سنين القي نفسي واقف قبال الحبيب😢,fear
<USER>   قبلكم ترى 😒,happy
هو  فشخ كده لييه*-*؟,happy
"هههههههههه انا بصراحة اكون   اول الدوام و النفسية لك عليها و كله بسبب السهر و قلة النوم 😴😄،  االي يبي يروق ينام بدري ،،",disgust
RT <USER> بلي   وعندي فرخة,anger
 هذا الصباح ولن اسمح لاياً كان ان يعكر صفو مزاجي <URL>,happy
<USER> المشكله اذا فعلت جهات الامن شي لصالحكم رفعتوهم فوق السحاب واذا فعلوا شي لايوافق مزاجكم خفستوا به شر خفسه ولهذا   منكم,surprise
 من حياتي وهلكانه للحد اللي يخليني مو ناقصه تصرفات التفاهه الحاصله,disgust
<USER> حبيبي ولله بس   لان بفقدك,sad
طيب  😍  رجاءا عدم الاقتراب 👊👊,happy
"<USER>  طيب تفاءل شوي 😊 ، ومفروض احنا نغير نظرتهم لنا مو بس نصور وخلاص،كمان مو مشكله عمرها ماتغيرت نظرتهم اهم شي  ب دراستي",happy
جاي يستلم قبل الصبة ع طول .. مهندسين تشل ..بس   😄✋,happy
<USER> <USER> لا  واخويا بارد جدااا اسبريت يعني استفزني ادتوا بكوبيه في وشه وحيات ربينا مستفز,anger
نفسي احضن الدنيا كلها ... كلها &lt;3  . حقيقي بجد  اوووووي .. اووووووي كمان :D ^^ &lt;3,happy
"RT <USER>   من دونك، انا اعيش بدون حياة.",disgust
"RT <USER> لويس فان غال عن جائزة السنة: اعتقد ان دي خيا يستحق الفوز بها، لانه كان مهم جدا هذا الموسم لمانشستر يونايتد،   جدا لاجل…",happy
<USER> <USER>  العيلة💔 هسا عبود صف اول SAT و محمد هلا نقل SAT بس بابا ما بدو ينقل سرين ع مدرستو عشان بخاف ع نفسيتها😅🔥🔥🔥,disgust
  اقدم هجرة علي ليبراندا دي الاقي نصها مصريين !!!,fear
"  من الدنيا إذا غبتي،انا اكثر من اكثر شخص يحتاجك! انا اللي مايبي بالعمُر إلا انتي..",fear
الله الله   بالخبر دا جداً 💃🏻 <URL>,happy
عملت مراجعة المجموع 19 بلوك منها 11 حق و 8 معيش حق الشتائم مالها لزوم   ويستفزوني بسرعة بعد الخمسين صعب تغيير الطبع,anger
 ! وجيت في بالي وصرت  اكثر حزن ! وشلون خلّيتك لهم ؟ وانت اللي احبك كثير,sad
بس انا عمرى ما قلت إن   غير بعد ما قلبى اتمناكى 😶,fear
  لا طاح الجمل تكثر سكاكينه وانا ما عادت ضلوعي اتحمل طعنه السكين,fear
<USER> ولا هايشمو ريحة الشاورمة   علي الاتنين ودة قرار لحين البث في امرهم,anger
 : و جيت في بالي وصرت اكثر حزن ! و شلون خلّيتك لهم ؟ و انت اللي احبك كثير و خلّيت للدنيا طعم على العموم انا بخير وحيد لكن مو مهم !”,sad
"RT <USER> عشان كده   وقلبى   يا بومبا ,  ",sad
RT <USER>  الحظ ❤️لذا انا ساكون زوجة رجل عظيم 💍🎩❤️,happy
<USER> ولماذا لا تاتي الي انا في الحجاز من اسبوع وزرتها قبل اسبوعين واخبرتك بهذا ولم تاتي ابدا ولم تكتبي لي حتى  منك...,anger
" من اللي تقولي : انتي ماتستحين على وجهك ياحبيبتي انا عايشه طول عمري مع وجهي وتبيني استحي منه ، اومق سدمة👄🔥",surprise
تسالني عن حالتي فالبعد وشلوني؟    بغيابك وانت شخبارك ؟😉,happy
الحمد لله مش غير   هاليوم,disgust
"<USER> شالسالفة  ليكون فيه فايروس السحب على الكلاسات،الوضع مو طبيعي  سحبت اليوم ع الدوام المشكلة مو عوايدي!   من وضعي 😨",surprise
<USER>   منو هالكلب :),fear
نزل صورتك —   على مشاعرك والله   عليك انك تكرهين البويز وتحبيني <URL>,fear
 كيف تتابعونن مباراهه وتغردونن انا من اشوف الهلال انسى الجوال,surprise
 الايام دي :)))  ممكن اقول دي اسعد ايام حياتي حتي الان :)),happy
" ة، ليس لان اعتقاداتي بكثير من القضايا خذلتني.. ولكن لاَنِّي مجبرة على مسايرة كل ال  الذي ينخر عظامي مِن حولي.",sad
  جدا من اجل كل ما يحدث في العالم ..ربما ساشتري ورده بيضاء واهديها لاول من يقابلني..غير بائع الورود طبعا ..سابتسم له في المقابل...,sad
RT <USER>   من زود حبك تحسدني الناس 🎼.,fear
ليش الكل مستخف باليوفي ..   ياخد البطوله,fear
انا متهيالى لو جربت تعمل كده لاسر مش هيضحك هيقوم ملطشلك على طول .. الواد ده تحسو   مننا :( Haitham Hosny El...,disgust
"لويس إنريكيه : ماثيو صفقة رائعة ,   بما يضيفه للفريق , قلب الدفاع هو مركز صعب في برشلونه !",happy
<USER> 😷 .. 😠  من تصرفاتك.😜خيرها بغيرها.😚راق لي كلامك ...الترجمه تختلف عند كل شخص 😊😊,disgust
 ازاي الناس اللي عيالها بتموت زي الفراخ في سينا ماحدش منهم اتكلم على ان ابنه اتاخد اجباري واتحط في مكان خطر من غير تدريب مناسب,surprise
RT <USER> -  : و جيت في بالي وصرت اكثر حزن ! و شلون خلّيتك لهم ؟ و انت اللي احبك كثير و خلّيت للدنيا طعم على العموم انا بخ…,sad
فين الحرمان ده   من التويته و الله,disgust
"RT <USER> يوجعني قلبي لما اتمسك بشخص و  يتركني , توجعني فكرة ان الناس كلهم مؤقتين ومجرد عابرين , تقرا؟ طيب طمني وقول انا معاك …",fear
#وجه_كلمة_لحظك ليش احلام و انا لاء !  انو   بس والله احلى من صاحبنا احلام 😐😢,disgust
"لا يوجد شيء اسمه   ، ولكن يوجد شيء اسمه انا غير راضي عن صورتي الذهنية ، تعلم كيف تصلح صورتك الذهنية المهتزة وسترى جمالك  تطوير الذات",disgust
<USER>  والله اول مرة اخاف كدة ✋🏃🏃🙊 نسمع اغانى عشان ننسى الحلقه 😂👌,fear
<USER> البايرن   فيهم 3-1 &gt;&gt; طلعونا بنفس النتيجة العام 😥😭,happy
<USER> ي ويلي   خبيتي 🙊,fear
"""<USER>  الباشمهندس فوزي """"ب ضم الفاء"""" ^_^   و الله :)  يا رب تكون بخير , و عايز اشوفك مرة على الاقل قبل شهر 9 الجي ;)""",happy
  لقئ ثاني نوئ بالمره ينساني.  <URL>,fear
برنامج العاشرة مساء|مديحة يسرى للإبراشى  على رفض الاهالى وضع اسم فاتن حمامة على مدرسة <URL>,sad
=-   من اللي تقولي : انتي ماتستحين على وجهك ياحبيبتي انا عايشة طول عمري مع وجهي وتبيني استحي منه؟ اومق سدمه.,surprise
<USER> <USER> هذا الي   منه والله يستر لان تشخيص مستشفياتنه الله بالخير,fear
  و مجروح من جوايا,sad
جد !  من نفسي اكثر من اي شخص اخر!,anger
ذاكرت صفحتين فسيولوجي 💃  بنفسي اوووي 👏👏💪✊,happy
الويكند وامس والليوم صارت خمس ايام ماشفت المدرسه  الحمدلله ياربي,happy
<USER> هههههههه خد يسال عليه ياجماعه   لايكون بيقطع في شراينه دلوقتي من اللي ببحصل عالتايم دا,fear
اليوم   والله عشان واحد حصله حاجه في حياته جدا جميلة فرحتله من كل قلبي والله ❤️❤️,happy
الحمدلله  ان شاء الله ان مستقبلي يبشر بالخير <URL>,happy
<USER>  كله عن الميك آب +  لكن جميله من داخلي 💁,disgust
<USER> <USER> لا  الايام دي مافيش مذاكره بلا قرف 🔫😂😂,disgust
"""RT <USER> <URL>   لحالنا جدا"""" فقد عجزنا ان نكون مثل هذا النمر.. حقا""""   😔""",sad
<USER> هههههه   بيك يا شافعي 😘🙌,happy
كل البنات مرتبطين  والشباب ولا واحد مرتبط  كيف لا تسالني  حتى  😂!,surprise
بيل قص شعره 😍😍  صراحة   على اصابته 😔,sad
"#برت حنان المشعل طحتي من عيني ، اثرت فيني هالكلمه جرحتني هالكلمه ،  يعوال ☹ ههههههههههههههههههههههههههههههههههههههههههههههههههههههه",sad
".    من هالشيبان  اللي يناقزون في الاعراس ،  واذا جاء وقت الصلاة تشوفه  يصلى على كرسي … !  #مشكلة",surprise
 رغم ان الطريق قادني إلى مالا اريد والايام احاطتني بما لم اتصور  لان حياتي تحت يد الله,happy
<USER> اقرا اخر جزء من التويت ترى  ,anger
صايره  اشفيك؟حتا ماصرتي زي اول —  ههههههههههههههههههههههههههههههههههههههه انا اكبررررررر وحده واكب... <URL>,sad
RT <USER>   من نفسي الصراحه اييف,disgust
  ﻻيوم انهار. .. ومن اللي جاي #ياستار,fear
<USER> <USER>   اي تغريده عني بلوك😡    <URL>,anger
مراته بتشتغل زيها زيه يرجع البيت  مالك ياحبيبي  مش طايق حد يتكلم معايا   من الشغل  في الوقت اللي هي لو عملت كدة تبقى مقصرة!!,disgust
بس اقولك الصراحة والله   نفسيا دلوقتي بعد صلاة الفجر في الجامع 🙏,happy
<USER>    من اللي يطالب بالاختلاط  اما تستحي من الله او تخشاه؟,surprise
مغيغ   حالي وعدي شمطك بلوك 🚬,disgust
"  اني ما تابعت شالكة وفولسبورغ ! كنت متحمس لها من الصبح، فاتتني نومة رغم صاحي العصر ورجعت نمت لين العشاء، السودان فقلبي",sad
RT <USER>  بضيع وقت  بضيع وقت  .. انا مش هتلم بقى ولا ايه 😑,happy
تتكلم كثيرا ولا اسمع كلمه واحدة لانها جميلة وانا احبها والان   واود لو اموت,happy
  اصﻻ فوق ما تتصورو  ف مينفعش اكون ماسك نفسي بالعافيه وانا بكلمك وتروح انت متعصب ومش عاوز جه يتنقلي ويخليني اتعصب ﻻن انت اللي هتزعل:D,anger
<USER> <USER> <USER> <USER>   😂😂😂😂   من نفسي,surprise
  انا كداب   بدون اسباب,happy
  جدا و عارف ليه بس مش عايز اقول,disgust
<USER> الله يعطيك وظيفه تسعدك  والله   عليك انا كل يوم ادعي لك  لكن اياك واليئس وكلامي ذ يصدر عن قلب نضيف لتفكر في شي ثاني,sad
بجد بجد  جدا اوى خالث ^^,happy
<USER> لا هنا مايقدر واسطته صفر اصلا  انه عنده واسطات 😂😂👊,surprise
<USER> <USER>   كيف لفلك كذا وانت خاتمه مرتين,surprise
الشيء الي   منه هو ان Takashi Mukouda والي هو اسلوبه مشابه Yutapon شغل كمشرف اكشن في مسلسل Mikagura Gakuen Kumikyoku التابع Doga,surprise
ياسيدي عشرة عمر بالطبع  ..,sad
 الحمد لله 😢😢😢😢😢😢 بعد كل الانتظار فُرجت,happy
 و  .. يارب ديمها نعمة و خفف عليا كل حاجة ضايقنى :),happy
"-   َه كذا، الله لا يرجع كل قديم إنتهى.",happy
  وجود اكثر من خمس مليون يمني بالسعودية مو هم الاولى بدعم بلدهم؟ يعني يسرقونا من هنا واحنى ندعم بلدهم من هنا ؟ #بنيان_لاهلنا_باليمن,surprise
"RT <USER> انا مُش  بسبب إللي جالس يصير بينّا،  لانّي في نص الحاجات إللي مفترض اكرهك بسببها جالسه احبّك اكثر.",sad
  بعد ما تتشهري في البرنامج ده تتعاقدي مع قناة الفراعين واللا حاجة يا ام شهد .. اوعي تخسري جمهورك وتقبلي اي عرض فلولي,fear
"RT <USER> '  ابطل اخاف، او اخاف بزيادة، الخوف اللي بيموت. عامًة،بخاف من قلة الحاجات و من كترها. لا عايزها تمشي كلها ولا عايزها تس…",fear
RT <USER> الناس صايره تنرفز ولا  بزياده؟,anger
بصوا انا اساسا   منكم و من خدمتكم العره و مستحملكم مش بمزاجى غصب عني عشان سياستكم الوسخه انما ا اصحى من النوم القى النت خره,disgust
  وحزني اشكال وانواع  طفران ووجيه الطفارى دايم عبوسه  يارب  انا عبدك ولاني ب طماع  رضاك  واثنين مليار وبس وعروسه  #بعثرة_قصيد,sad
"- #KaraParaAşk :  من اللي  ين من ابداع توبا ب هالمشهد، وش الجديد؟ 😴🎼💛! <URL>",surprise
" من الاسبوع دة بالايام الجاية فيه، كل حاجة فيه هتنتهى فوق دماغى اصلا",disgust
"بعدك    : اخاف ، والشوق فيني ممتلي !  محتاج لي حضنك لحاف ، والسهْد مرّه   ينجلي !  إن كان ما  فيها   خِلاف : بالله   طمّني :  علـي !",fear
 و مش عارفه مالي 😔,disgust
"RT <USER>   لدرجة انني ﻻ استطيع الكتابة مثل السابق فاصبحت بلا فائدة ، انا اللاشيء ﻻ فرحة وﻻ دمعة ، انا الفراغ بين الفاصله .",sad
حيل   من الدنيا عليك!😢🎶,fear
RT <USER> قلت له لا تبكي ولا تحزن فانت ذو ابتسامة جميله فابتسم وبقيت   لا احد يسعدني,sad
"<USER> والله   اكمل، حتزعل مني بجد",fear
#جان_لايف الحين   من زحمة خريص الصبح والظهر بروح بالليل ازاحم عشان وجبة الله يرزقني طولة بال اللي ينتظرون في جان وجبتهم 😂,disgust
RT <USER>   جداً محتاج مليون سلف اردهم اربعاع الي يعرف احد يسلف جذي مبالغ يقوله اني ابي سلف,sad
RT <USER> وعشان كده   جدا بقطع القنوات التابعة للمنظومة ان شاء الله هتتهد علي ميتين ابوكوا😄😄 قالوا فوضة و منبع اجرام .. اعلام…,happy
اللهم لك الحمد والشكر يارب &lt;3 &lt;3 تعب ومجهود 3 سنين بيتلخص في سوكسيه ع المسرح ..   جدا &lt;3 خطوة من خطوات... <URL>,happy
"""RT <USER> كل اللي صار لل لانه دائماً يكرر على نفسه،   ما راح اعرف اتعامل مع الناس، فيحاول يتحاشى الناس وإذا """"عصب"""" خلاص يتصرف…""",anger
<USER> <USER> المفترس دير بالك لا تتحرش فيني تره   وبسرعه اطق البارحه سدحت ٥ شباب بس لانهم خزوني لذلك وخر عني مسافه كبيره ✋,anger
RT <USER> <USER> <USER> اللقافه تكتب هكذا   بتويتر ناس يعرفون يغردون ومايعرفون يكتبون فضحتونا بين العربان 😅😅😅😅😅😅,surprise
<USER>   على مصلحتك 😍,fear
RT <USER>  من الناس اللي  ين من انهم منعوهم من الدخول لمحاكمة جت على هذه بس  #محاكمة_مسلم_البراك,surprise
<USER> صباح الورد عليك وعلى تعز ..... من قرار الملك بانتهاء عمليه الحزم عندك فكرة,surprise
��😢😢😢   ودي اكل,sad
#برت /  ): .,sad
 بالهاندفرى الجديده عشان صوتها عالى جدا وطول ماهى ف ودنى مش عايزه حد ينكد عليا لو سمحتو.,happy
<USER> يوووو سوري بقي  معلش حقك عليا,anger
<USER>  علمي علمك !    من ادريان يغاب عن الهلال اهون من هوساوي,fear
<USER> <USER>   وعاوز اتفرفش بكرا.. خليفه فرفشني عند الراجل بتاع عربية الفوول. انا قولتلك اهو,anger
RT <USER> إذا كنت بعيدا عن طريق الله إسال نفسك .. هل   بما افعله ؟ والله يقول : [ ومن اعرض عن ذكري فإن له معيشة ضنكا ] طه…,happy
RT <USER> <USER> بصي انا كنت بتفرج و  يطلع حاجة مافهمهاش بس بجد فكرته حلوة وبيتكلم في نقاط اغلبنا بينتقدها مبروك الاطلا…,fear
<USER> <USER> <USER> هههههههه مناووووه منيجيل   تعطينهم خسه بالعيون ورا البريقع هذا ويلعب بحسبتهم خلي عنك فنيجيل 💃💃💃,fear
  من اللي ناقد على برشلونه ؟ يبا انت توك ماكل عيش ودجاج والحين لابس مكسر وتسولف على برشلونه والله برشلونه قوي حالياً مو نفس 2013!,surprise
عيونك عقلبي كذبوا.. واللي  ه.. هالوقت كله بالقلب.. شو كنتي قاعده تعملي..,surprise
انا و باخد قرار انى اقطع علاقتى بناس كتير فشخ,disgust
<USER> ياخي   من وسع وجهك  الكل معطيك بالجزمة وضد كل كلامك وانت لازلت تنبح زي الكلب  يا عساك تنفرم من صاروخ ينزل على جبهتك,surprise
  كيف انشيلوتي راضي ببنزيما الزق هذا كرة مايعرف يستلمها 💩,surprise
<USER> <USER> <USER> انا ما غلطت   من الصوره وهدفها بس اللي في بطنه لحم ني يووجعهه,surprise
رحمك الله يابو عدي والله اني منذ رحيلك و   #سيف_العرب #صدام_حسين <URL>,sad
<USER> مش عارف  ومنعرفش اصلا فشي غلك ياروحي 😂😂👌👊,surprise
<USER> انا كنت باسخر من اللى احنا فيه بموضوع الجرى دا ..   على مصر كلها من كوارث ممكن حدوثها جدا.. مش اسكندريه بس,fear
ترا  بس مالي خلق اعصب😪,anger
<USER> <USER> <USER> انا مش     يا محي هاهاهاهاهاها.,fear
"<USER> <USER>   الله يسسعدك فطوم النوور نوركم 🌹، هههههههههههههههههه   هـ الاستقبال ، المهم عسى الكلام عني باشياء زينه ؟ 💔😅😅🏃",surprise
<USER> من كثر ما  مدري شقول,happy
"  اعمل لعبة الفيفورت دى , اقعد اشتم فى ناس كتير :D   عندى مشكلة ابدية مع المجاملات",fear
RT <USER> <USER> والله   عليكى يجرالك حاجه اعصابك البرود هو الحل 😂😂😂✋,fear
موضوع #الحجاب زاد عن الحد الصراحة   ايه سبب ظهوره الفترة دى وليه المزايدات عليه ما كل واحد حر فى قراره محدش ليه الحق يحاسب حد,surprise
