كلمة, PFA,الفئة
شيطاني,0.828,غضب
كره,0.828,غضب
شيطاني,0.828,غضب
استبدادي,0.828,غضب
ragemode,0.828,غضب
"حقير، خسيس",0.828,غضب
طاحن,0.825,غضب
شجب,0.825,غضب
أعمال الشغب,0.824,غضب
هدم,0.824,غضب
غاضب,0.824,غضب
إبادة,0.824,غضب
dickhead,0.824,غضب
غاضب,0.821,غضب
مجنون,0.82,غضب
انتقامي,0.819,غضب
NO TRANSLATION,0.818,غضب
ضراوة,0.818,غضب
سام,0.818,غضب
هدد,0.818,غضب
NO TRANSLATION,0.818,غضب
إرهابي,0.818,غضب
مقت,0.816,غضب
متوحش,0.814,غضب
فظاعة,0.814,غضب
مذبحة,0.814,غضب
هائج,0.812,غضب
NO TRANSLATION,0.812,غضب
إساءة,0.812,غضب
طاغية,0.812,غضب
fucksake,0.812,غضب
منزعج,0.812,غضب
ثأر,0.812,غضب
عنيف,0.812,غضب
مدمر,0.812,غضب
pissesmeoff,0.812,غضب
دخن,0.812,غضب
بربري,0.812,غضب
غضب,0.811,غضب
pieceofshit,0.81,غضب
ضربة عنيفة,0.803,غضب
معارك,0.803,غضب
لكمات,0.803,غضب
الكلبة,0.803,غضب
اللكم,0.803,غضب
قتل,0.803,غضب
مدمرة,0.797,غضب
قاس,0.797,غضب
خسيس,0.797,غضب
صفعة,0.791,غضب
مسلخ,0.788,غضب
معاقبة,0.788,غضب
دمر,0.788,غضب
ثأري,0.788,غضب
شغب,0.788,غضب
ragetweet,0.788,غضب
صراخ,0.788,غضب
growthefuckup,0.788,غضب
شيطاني,0.788,غضب
قتل,0.783,غضب
اشتباك,0.783,غضب
دموي,0.781,غضب
جهنمي,0.781,غضب
متردد,0.781,غضب
تفجير,0.781,غضب
قتال,0.781,غضب
شرير,0.781,غضب
NO TRANSLATION,0.779,غضب
اتهام,0.779,غضب
غادر,0.779,غضب
NO TRANSLATION,0.779,غضب
ثأر,0.773,غضب
اشمئزاز,0.773,غضب
الفوة نبات صبغي,0.773,غضب
مرعب,0.773,غضب
سخرية,0.769,غضب
بائس,0.766,غضب
قنبلة,0.766,غضب
فوضوي,0.765,غضب
دمار,0.765,غضب
استاء,0.765,غضب
عاصفة,0.765,غضب
خسيس,0.764,غضب
NO TRANSLATION,0.76,غضب
قاسي,0.758,غضب
NO TRANSLATION,0.758,غضب
مميت,0.758,غضب
تحطيم,0.758,غضب
تبجح,0.758,غضب
فورة,0.757,غضب
تشابك,0.754,غضب
دنس,0.75,غضب
الإساءة,0.75,غضب
douchebags,0.75,غضب
الهدر,0.75,غضب
عضويه,0.75,غضب
عامية,0.75,غضب
dontmesswithme,0.75,غضب
مخبول,0.75,غضب
احتقر,0.75,غضب
رعب,0.75,غضب
مزعج,0.75,غضب
اشمئزاز,0.75,غضب
fuckedoff,0.742,غضب
التهديد,0.742,غضب
أطلق,0.742,غضب
صراخ,0.742,غضب
عنف,0.742,غضب
رهيب,0.742,غضب
مضايقة,0.742,غضب
الأوغاد,0.741,غضب
انتقام,0.738,غضب
كارثة,0.735,غضب
متوعد,0.735,غضب
شيطان,0.735,غضب
الساحق,0.735,غضب
اللعنة,0.735,غضب
اضطهد,0.734,غضب
تجادل,0.734,غضب
جلد,0.734,غضب
تمرد,0.734,غضب
جلد,0.734,غضب
نشجب,0.734,غضب
حرب,0.734,غضب
طفح الكيل,0.734,غضب
عنيف,0.734,غضب
عربيد,0.734,غضب
مشادة,0.729,غضب
مولع بالحرب,0.728,غضب
NO TRANSLATION,0.727,غضب
تمرد,0.727,غضب
خصى,0.727,غضب
تخريب,0.727,غضب
حاقد,0.721,غضب
إضراب,0.721,غضب
كارثة,0.721,غضب
كارثي,0.72,غضب
شغب,0.719,غضب
خبل,0.719,غضب
إبليس,0.719,غضب
صرخة,0.719,غضب
وحشي,0.719,غضب
خيانة,0.719,غضب
حارق,0.719,غضب
الهوام,0.719,غضب
arseholes,0.719,غضب
horseshit,0.719,غضب
يفاقم,0.719,غضب
حاقد,0.719,غضب
ذبح,0.719,غضب
ازدراء,0.719,غضب
خنق,0.719,غضب
bastarding,0.719,غضب
فسد,0.714,غضب
فوضوية,0.714,غضب
بتر,0.714,غضب
مجرم,0.714,غضب
استنكار,0.713,غضب
لكمة,0.713,غضب
صلب,0.712,غضب
خبث,0.712,غضب
اشتبكت,0.712,غضب
قاتلة - مهلك,0.712,غضب
محرقة,0.712,غضب
تجديف,0.712,غضب
مؤلم,0.712,غضب
dumbasses,0.712,غضب
NO TRANSLATION,0.712,غضب
مختل,0.706,غضب
فظيع,0.706,غضب
شر,0.706,غضب
منزعج,0.706,غضب
قاتل,0.703,غضب
ديكس,0.703,غضب
اضطهاد,0.703,غضب
القاتل,0.703,غضب
خطف,0.703,غضب
توبيخ,0.703,غضب
تخويف,0.703,غضب
تتفاقم,0.703,غضب
عدوان,0.702,غضب
مسلح,0.7,غضب
سم,0.697,غضب
الزمجرة,0.697,غضب
سم,0.697,غضب
معركة,0.697,غضب
ناقم,0.693,غضب
أخبث,0.691,غضب
مهاجم,0.691,غضب
استياء,0.691,غضب
أعدم من غير محاكمة,0.69,غضب
مزدر,0.69,غضب
"لين، لطف، هدأ",0.688,غضب
سجن,0.688,غضب
انتقص,0.688,غضب
بلطجي,0.688,غضب
رهيب,0.688,غضب
جنوني,0.688,غضب
لعنة,0.688,غضب
NO TRANSLATION,0.688,غضب
منزعج,0.688,غضب
هيمنة,0.688,غضب
مجنون,0.688,غضب
وأد,0.688,غضب
التقلب,0.687,غضب
استئصال,0.685,غضب
نوبة غضب,0.682,غضب
دمر,0.682,غضب
القضاء,0.682,غضب
الوغد,0.682,غضب
بقوة,0.68,غضب
الإثارة,0.68,غضب
الدكتاتورية,0.676,غضب
يزعج,0.676,غضب
شتم,0.673,غضب
فاضح,0.672,غضب
حشوي,0.672,غضب
مقرف,0.672,غضب
غرز,0.672,غضب
اطلاق النار,0.672,غضب
مضر,0.672,غضب
التفاقم,0.672,غضب
ازدراء,0.672,غضب
سام,0.672,غضب
خسيس,0.672,غضب
أطلق النار,0.672,غضب
إفساد,0.672,غضب
إدانة,0.672,غضب
انتقم,0.672,غضب
مهروس,0.672,غضب
بوحشية,0.672,غضب
جريمة,0.672,غضب
معتوه,0.67,غضب
NO TRANSLATION,0.667,غضب
انفجار,0.667,غضب
بغيض,0.667,غضب
اطلاق الرصاص,0.667,غضب
ركلة,0.667,غضب
العدواني,0.667,غضب
قتال,0.667,غضب
"يصيح، يصرخ، صيحة",0.667,غضب
نجاح,0.667,غضب
يقاتل,0.667,غضب
سفاح,0.667,غضب
العدو,0.667,غضب
سريع الغضب,0.667,غضب
يعاقب,0.662,غضب
كمين,0.661,غضب
قال بصوت عال,0.661,غضب
مضايقة,0.659,غضب
خبيث,0.656,غضب
معتدي,0.656,غضب
عدو للمسيح,0.656,غضب
نطح,0.656,غضب
عطور,0.656,غضب
يطرد,0.656,غضب
تدمير,0.656,غضب
ضغينة,0.656,غضب
غريب الأطوار,0.653,غضب
بالاهانة,0.652,غضب
صفعة على الكفل,0.652,غضب
تذمر,0.652,غضب
تمرد,0.652,غضب
انتقام,0.652,غضب
شريحة,0.652,غضب
التنديد,0.652,غضب
عداء,0.652,غضب
مهين,0.652,غضب
تشتبك,0.652,غضب
الهدير,0.649,غضب
جلاد,0.644,غضب
twat,0.644,غضب
يوم القيامة,0.643,غضب
الخفي,0.641,غضب
فحش,0.641,غضب
قصف,0.641,غضب
مشاحنة,0.641,غضب
خراب,0.641,غضب
عداء,0.641,غضب
GRR,0.641,غضب
حريق متعمد,0.641,غضب
توبيخ,0.641,غضب
طرد,0.641,غضب
لا يصفح عنه,0.641,غضب
المتهم,0.641,غضب
ساخط,0.641,غضب
قيد,0.641,غضب
NO TRANSLATION,0.637,غضب
جرح,0.636,غضب
انتحاري,0.636,غضب
مسمم,0.636,غضب
خليط,0.636,غضب
الركل,0.636,غضب
معلق,0.636,غضب
ضربة على الردف,0.636,غضب
مقزز,0.636,غضب
مقاتل,0.636,غضب
محبط,0.636,غضب
فوضى سياسية,0.636,غضب
باهي,0.636,غضب
إلحاق,0.633,غضب
المحطمة,0.633,غضب
مؤلم,0.632,غضب
محاكمة,0.63,غضب
هائج,0.63,غضب
خداع,0.63,غضب
الصليب المعقوف,0.627,غضب
افترائي,0.625,غضب
اختناق,0.625,غضب
صراع,0.625,غضب
إثارة,0.625,غضب
جرح,0.625,غضب
مضايقة,0.625,غضب
كارثة,0.625,غضب
اللعن,0.625,غضب
أفشى سرا,0.625,غضب
توجيه الاتهام,0.625,غضب
غارة,0.625,غضب
مدو,0.625,غضب
مستعبد,0.625,غضب
الشرج,0.624,غضب
مجنون,0.621,غضب
شيطان,0.621,غضب
يزعج,0.621,غضب
المحكوم,0.621,غضب
أحمق,0.621,غضب
سرقة,0.621,غضب
انتقام,0.621,غضب
حرمان,0.621,غضب
العناد,0.619,غضب
اضطراب,0.618,غضب
صفعة,0.615,غضب
عقاب,0.614,غضب
twats,0.609,غضب
لا يطاق,0.609,غضب
تمرد,0.609,غضب
ضار,0.609,غضب
ظالم,0.609,غضب
عبودية,0.609,غضب
التهيج,0.609,غضب
تصادم,0.609,غضب
مرير,0.609,غضب
عصابة,0.609,غضب
عداوة,0.609,غضب
البطارية,0.609,غضب
معاكس,0.609,غضب
موصوم,0.608,غضب
مزعج,0.606,غضب
ثورة,0.606,غضب
سفاح,0.606,غضب
خطبة لاذعة,0.606,غضب
قصف,0.606,غضب
انفجار,0.606,غضب
يؤرق,0.606,غضب
مقرف,0.606,غضب
تمييز,0.606,غضب
معاد,0.606,غضب
صراخ,0.606,غضب
الأحمق,0.606,غضب
أحبط,0.604,غضب
بمعالجة,0.603,غضب
توتر,0.603,غضب
إهانة,0.603,غضب
متعصب,0.603,غضب
NO TRANSLATION,0.603,غضب
مؤذ,0.603,غضب
ظلم,0.603,غضب
قرف,0.602,غضب
رغم,0.6,غضب
تطفلي,0.598,غضب
قسوة,0.597,غضب
افتراء,0.596,غضب
البائس,0.594,غضب
جحيم,0.594,غضب
غزو,0.594,غضب
ثقب,0.594,غضب
تعيس,0.594,غضب
هاجم بعنف,0.594,غضب
اقتحام,0.594,غضب
مصاب,0.594,غضب
مرارة,0.594,غضب
مرضية,0.594,غضب
عاصفة,0.594,غضب
ذعر,0.592,غضب
لئيم,0.591,غضب
هذيان,0.591,غضب
مقصلة,0.591,غضب
مذنب,0.591,غضب
عديم الاخلاق,0.591,غضب
غصبا,0.591,غضب
ساحق,0.591,غضب
ملعون,0.588,غضب
NO TRANSLATION,0.588,غضب
متمرد,0.588,غضب
غاز,0.588,غضب
فزع,0.588,غضب
ثمل,0.588,غضب
سخط,0.587,غضب
الغيرة,0.587,غضب
مغيظ,0.586,غضب
مواجهة,0.582,غضب
حيوان,0.581,غضب
خنق,0.579,غضب
حطام سفينة,0.578,غضب
مسدس,0.578,غضب
وقحة,0.578,غضب
أنت تمتص,0.578,غضب
ضرر,0.578,غضب
جزار,0.578,غضب
نزاع,0.578,غضب
NO TRANSLATION,0.578,غضب
جريمة,0.578,غضب
المشاحنات,0.578,غضب
نهب,0.578,غضب
حريق,0.578,غضب
NO TRANSLATION,0.578,غضب
انقلاب,0.578,غضب
إثارة للخلاف,0.578,غضب
سجن,0.578,غضب
غير هياب,0.578,غضب
مثير,0.578,غضب
جلد,0.578,غضب
سرطان,0.577,غضب
إحباط,0.576,غضب
ملطخ بالدم,0.576,غضب
عزلة,0.576,غضب
خلاف,0.576,غضب
إزعاج,0.576,غضب
تلمس,0.576,غضب
الهبوط بالمستوى,0.576,غضب
خبيث,0.576,غضب
تجديف,0.576,غضب
تميز,0.576,غضب
فوضوي,0.576,غضب
بندقية,0.576,غضب
المواجهة,0.576,غضب
NO TRANSLATION,0.576,غضب
NO TRANSLATION,0.575,غضب
سخرية,0.574,غضب
جنون,0.574,غضب
ظالم,0.574,غضب
الموت,0.574,غضب
ضربة بالكوع,0.574,غضب
ملعون,0.574,غضب
فاضح,0.574,غضب
بشاعة,0.574,غضب
القرف,0.573,غضب
مذم,0.571,غضب
خفض,0.571,غضب
غير منصف,0.571,غضب
مشنقة,0.57,غضب
يتصعد,0.569,غضب
غير متسامح,0.564,غضب
فوضى,0.563,غضب
bluddy,0.562,غضب
هلاك,0.562,غضب
تهكم,0.562,غضب
عابس,0.562,غضب
نسف,0.562,غضب
خدع,0.562,غضب
افتراء,0.562,غضب
يؤخر,0.562,غضب
سبحة,0.562,غضب
غزا,0.562,غضب
منفاخ,0.562,غضب
وحش,0.562,غضب
مخيف,0.562,غضب
ازدرائي,0.562,غضب
وهج,0.562,غضب
NO TRANSLATION,0.562,غضب
مروع,0.562,غضب
خائن,0.562,غضب
مؤذ,0.562,غضب
الجدل,0.562,غضب
خلاف,0.561,غضب
الشؤم,0.561,غضب
تحطيم,0.561,غضب
حريق,0.561,غضب
يعرض للخطر,0.561,غضب
السارق,0.561,غضب
الهذيان,0.561,غضب
حاجز مشبك,0.561,غضب
مدمر,0.561,غضب
البلهاء,0.561,غضب
خيانة,0.561,غضب
متعذر ضبطه,0.561,غضب
تناسبها,0.561,غضب
تعبر,0.561,غضب
جرح,0.561,غضب
مختل,0.559,غضب
إخضاع,0.559,غضب
داس,0.557,غضب
إختطاف,0.557,غضب
تكتك,0.556,غضب
ماسوشية تلذذ بالإضهاد,0.556,غضب
شكوى,0.556,غضب
تحد,0.552,غضب
ابتزاز,0.55,غضب
هجومي,0.549,غضب
شجب,0.548,غضب
NO TRANSLATION,0.547,غضب
عنيف,0.547,غضب
عقاب,0.547,غضب
شديد,0.547,غضب
NO TRANSLATION,0.547,غضب
الجانب المظلم,0.547,غضب
بؤس,0.547,غضب
يحبط,0.547,غضب
مخز,0.547,غضب
NO TRANSLATION,0.547,غضب
متعجرف,0.547,غضب
تفاوت,0.547,غضب
حجز,0.547,غضب
الأسلحة النارية,0.547,غضب
NO TRANSLATION,0.547,غضب
مناف للعقل,0.547,غضب
متمرد,0.547,غضب
يخدع,0.547,غضب
مسروق,0.546,غضب
NO TRANSLATION,0.546,غضب
wanker,0.545,غضب
مسخن,0.545,غضب
خرب,0.545,غضب
تهديد,0.545,غضب
إذلال,0.545,غضب
يعالج,0.545,غضب
متآمر,0.545,غضب
خطأ,0.545,غضب
خصم,0.545,غضب
امتعاضي,0.545,غضب
تعصب,0.545,غضب
خصم,0.545,غضب
جدال,0.545,غضب
مناوشة,0.545,غضب
قاسي القلب,0.545,غضب
NO TRANSLATION,0.545,غضب
متورط,0.544,غضب
سرقة,0.544,غضب
العقرب,0.544,غضب
احتجاج,0.544,غضب
تذمر,0.544,غضب
لا يقبل المساومة,0.543,غضب
مقاومة,0.543,غضب
المعوق,0.542,غضب
فزع,0.54,غضب
تجمهر,0.538,غضب
NO TRANSLATION,0.537,غضب
خبث,0.536,غضب
سخرية,0.534,غضب
حارق,0.533,غضب
مشاعل,0.532,غضب
انحلال,0.531,غضب
حبس,0.531,غضب
مفاقمة,0.531,غضب
ضار,0.531,غضب
الانتفاضة,0.531,غضب
NO TRANSLATION,0.531,غضب
متهور,0.531,غضب
غير ملجم,0.531,غضب
ادعاء,0.531,غضب
شيوعية,0.531,غضب
سوط,0.531,غضب
المتطفل,0.531,غضب
خلاف,0.531,غضب
استخف,0.531,غضب
متعصب,0.53,غضب
المذنب,0.53,غضب
مشاحنة,0.53,غضب
تنافر,0.53,غضب
ظالم,0.53,غضب
دكتاتوري,0.53,غضب
غير عادل,0.53,غضب
NO TRANSLATION,0.53,غضب
الانحراف,0.53,غضب
تناولت,0.53,غضب
مرتد,0.529,غضب
الحار,0.529,غضب
السجن,0.529,غضب
cantstandit,0.529,غضب
تعدي,0.529,غضب
انتحار,0.521,غضب
تزعج,0.52,غضب
اتركني وحدي,0.517,غضب
أحمق,0.516,غضب
عدم الثقة,0.516,غضب
فساد,0.516,غضب
المشوهون,0.516,غضب
طلاق,0.516,غضب
شواء,0.516,غضب
grrr,0.516,غضب
التنفيس,0.516,غضب
معاد,0.516,غضب
إكراه,0.516,غضب
قليل الاحترام للآخرين,0.516,غضب
التقصيرية,0.516,غضب
ينتقد,0.516,غضب
أسير,0.516,غضب
غير أمين,0.516,غضب
خيانة,0.516,غضب
ضحية,0.515,غضب
النكد,0.515,غضب
غير لطيف,0.515,غضب
لا ترحم,0.515,غضب
إطلاق العنان,0.515,غضب
إكراه,0.515,غضب
أنب,0.515,غضب
فوضى,0.515,غضب
grump,0.515,غضب
هدير,0.515,غضب
الحمقى,0.515,غضب
الصيد غير المشروع,0.515,غضب
hangry,0.515,غضب
الأسرى,0.515,غضب
الصيادين,0.515,غضب
الحجج,0.515,غضب
محبط,0.515,غضب
صراع,0.514,غضب
هلاك,0.511,غضب
اتهام,0.51,غضب
رفض,0.51,غضب
عداوة,0.51,غضب
إبعاد,0.509,غضب
مشوه,0.508,غضب
عاصفة,0.507,غضب
اجتنب,0.5,غضب
إخماد,0.5,غضب
جامح,0.5,غضب
صعب المراس,0.5,غضب
محنة,0.5,غضب
منع,0.5,غضب
انتقاص,0.5,غضب
حماسة,0.5,غضب
رغوة,0.5,غضب
سخرية,0.5,غضب
العداء,0.5,غضب
يرفض,0.5,غضب
نوبة,0.5,غضب
رمح,0.5,غضب
مجنون,0.5,غضب
وقح,0.5,غضب
نقيض,0.5,غضب
ظلم,0.5,غضب
نفي,0.5,غضب
حبيس,0.5,غضب
مسعور,0.5,غضب
تسيطر,0.5,غضب
وتعطيل,0.5,غضب
يدق,0.5,غضب
خوف,0.5,غضب
NO TRANSLATION,0.5,غضب
كرب,0.5,غضب
الوطأة العظمى,0.5,غضب
امتلك,0.5,غضب
تحدى,0.5,غضب
هزأ,0.5,غضب
رعايته,0.5,غضب
الوهمية,0.5,غضب
سوء التصرف,0.5,غضب
رفض,0.5,غضب
NO TRANSLATION,0.495,غضب
صلابة,0.492,غضب
NO TRANSLATION,0.492,غضب
جنون,0.491,غضب
مذنب,0.491,غضب
جشع,0.49,غضب
ظلم,0.49,غضب
مرفوض,0.485,غضب
غير إنساني,0.485,غضب
الطلب,0.485,غضب
إلغاء,0.485,غضب
لعنة,0.485,غضب
fricking,0.485,غضب
شكوى,0.485,غضب
خدمة سيئة,0.485,غضب
المهرب,0.485,غضب
سحب,0.485,غضب
مخالفة,0.485,غضب
مخلب,0.485,غضب
منشق,0.485,غضب
انحرف,0.485,غضب
سفاح القربى,0.485,غضب
NO TRANSLATION,0.485,غضب
عاص,0.485,غضب
انتزاع,0.485,غضب
ينفر,0.485,غضب
منتقم,0.485,غضب
منزعج,0.485,غضب
قطع,0.485,غضب
عار,0.484,غضب
خداع,0.484,غضب
مشبوه,0.484,غضب
درس الحنطة,0.484,غضب
إبله,0.484,غضب
متكلف,0.484,غضب
لوم,0.484,غضب
ثورة,0.484,غضب
تنازل,0.484,غضب
بغيض,0.484,غضب
كبح,0.484,غضب
طرد,0.484,غضب
التقاضي,0.484,غضب
منافسة,0.484,غضب
ضربة جزاء,0.484,غضب
مسجون,0.484,غضب
السخرية,0.484,غضب
معارض,0.484,غضب
اضطراب,0.483,غضب
جنيه,0.481,غضب
برودة,0.477,غضب
جاحد,0.472,غضب
كتيبة,0.471,غضب
stoopid,0.471,غضب
رهينة,0.47,غضب
كافر,0.47,غضب
"الرامات "" الذاكرة العشوائية في الهواتف والحواسيب",0.47,غضب
المتهم,0.47,غضب
مرارة,0.47,غضب
تخريب,0.47,غضب
مزعج,0.47,غضب
محنة,0.47,غضب
جردوا,0.47,غضب
احتكاك,0.47,غضب
غيور,0.47,غضب
إقطاعية,0.47,غضب
تسلح,0.47,غضب
رطم,0.469,غضب
تذمر,0.469,غضب
حرض,0.469,غضب
سرقة,0.469,غضب
NO TRANSLATION,0.469,غضب
عصى,0.469,غضب
إصابه,0.469,غضب
طبخ بنار هادئة,0.469,غضب
محنة,0.469,غضب
جنون,0.469,غضب
أناني,0.469,غضب
زعل,0.469,غضب
أنانية,0.469,غضب
تراجع,0.469,غضب
نهب,0.469,غضب
خنق,0.469,غضب
مخرب,0.469,غضب
منفى,0.469,غضب
جريمة,0.469,غضب
اعتراض,0.469,غضب
الانتكاسية,0.469,غضب
دخان كثيف,0.469,غضب
مرتكب الجريمة,0.469,غضب
لم يعجبنى,0.469,غضب
اضطراب,0.469,غضب
حساسية مفرطة,0.469,غضب
معارضة,0.469,غضب
NO TRANSLATION,0.468,غضب
قدح,0.467,غضب
سكرة,0.465,غضب
متكبر او مغرور,0.461,غضب
SUX,0.456,غضب
منفس,0.456,غضب
إزالة,0.456,غضب
الاعتصام,0.456,غضب
متجبر,0.456,غضب
مزعج,0.455,غضب
صخب,0.455,غضب
ضبطت,0.455,غضب
قيود,0.455,غضب
crabby,0.455,غضب
حق النقض,0.455,غضب
فافات,0.455,غضب
تضليل,0.455,غضب
غير مشروع,0.455,غضب
وفاة,0.455,غضب
المبشور,0.455,غضب
حماقة,0.455,غضب
شرعية,0.455,غضب
فاضح,0.455,غضب
كتيم,0.455,غضب
سيئة,0.453,غضب
استبداد,0.453,غضب
المغتصبة,0.453,غضب
ملحد,0.453,غضب
متضارب,0.453,غضب
المكثف,0.453,غضب
صراع,0.453,غضب
كبح,0.453,غضب
رافض,0.453,غضب
الكف,0.453,غضب
حربة,0.453,غضب
مستاء,0.453,غضب
هستيري,0.453,غضب
غير شرعي,0.451,غضب
على خطأ,0.448,غضب
طارد,0.442,غضب
ضائع,0.441,غضب
عدو,0.441,غضب
عار,0.441,غضب
ظالم,0.441,غضب
ذهان,0.441,غضب
نفور,0.44,غضب
عقابي,0.439,غضب
NO TRANSLATION,0.439,غضب
المفاصل,0.439,غضب
تمثال,0.439,غضب
انفصال,0.439,غضب
إنذار,0.439,غضب
مضطراب,0.439,غضب
عديم القيمة,0.438,غضب
أنكر,0.438,غضب
فدية,0.438,غضب
هارب,0.438,غضب
مؤذ,0.438,غضب
غباء,0.438,غضب
التخلي عن,0.438,غضب
ملوث,0.438,غضب
انفصالي,0.438,غضب
تهيج,0.438,غضب
نسيان,0.437,غضب
فصل,0.437,غضب
تسديد,0.436,غضب
غير لائق,0.435,غضب
طرد,0.435,غضب
تواطؤ,0.432,غضب
سلب,0.431,غضب
خيانة,0.429,غضب
نهم,0.429,غضب
تجاوز,0.429,غضب
NO TRANSLATION,0.426,غضب
نذير,0.426,غضب
عسكري,0.426,غضب
مؤلم,0.426,غضب
NO TRANSLATION,0.426,غضب
شكاك,0.426,غضب
الرفض,0.426,غضب
دفاع,0.425,غضب
قوي,0.424,غضب
الرقيب,0.424,غضب
بذاءة,0.424,غضب
محتال,0.424,غضب
مرض السيلان,0.424,غضب
وهمي,0.424,غضب
إخفاء,0.424,غضب
جشع,0.424,غضب
عصيان,0.424,غضب
ضجيج,0.424,غضب
فرض,0.424,غضب
السجق,0.424,غضب
هياج,0.424,غضب
احتيال,0.424,غضب
استياء,0.424,غضب
غير متعاطف,0.424,غضب
سخط,0.424,غضب
شوكة,0.422,غضب
نفي,0.422,غضب
تحريض,0.422,غضب
تحريف,0.422,غضب
تجاهله,0.422,غضب
اختراق,0.422,غضب
مشقوق,0.422,غضب
إزعاج,0.422,غضب
مبارزة,0.422,غضب
إصلاحية,0.422,غضب
سخرية,0.422,غضب
نفي,0.422,غضب
لسع,0.422,غضب
ندب,0.422,غضب
انفجار,0.422,غضب
لئيم,0.422,غضب
صارخ,0.42,غضب
فرض,0.418,غضب
منحرف,0.415,غضب
أقحم,0.415,غضب
معقل,0.413,غضب
متجهم,0.413,غضب
دنيء,0.412,غضب
NO TRANSLATION,0.412,غضب
عابس,0.412,غضب
شجار,0.412,غضب
متقلب المزاج,0.412,غضب
الصيد,0.411,غضب
فراغ يترك في أول الفقرة,0.41,غضب
الشام,0.409,غضب
سحق,0.409,غضب
سيى,0.409,غضب
NO TRANSLATION,0.409,غضب
ورط,0.409,غضب
تعارض,0.409,غضب
سيادة,0.409,غضب
تسلل,0.409,غضب
cantwin,0.409,غضب
عتاب,0.409,غضب
إكراه,0.409,غضب
أحمق,0.409,غضب
حصار,0.409,غضب
المعتقل,0.409,غضب
مصادرة,0.409,غضب
يخيب,0.409,غضب
يكذب أو ملقاه,0.408,غضب
وباء,0.406,غضب
رعشه,0.406,غضب
سكة حديدية,0.406,غضب
مرهق,0.406,غضب
تنافر النغمات,0.406,غضب
غير وارد,0.406,غضب
منبوذ,0.406,غضب
وهم,0.406,غضب
إثم,0.406,غضب
فرو الغرير,0.406,غضب
كراهية,0.406,غضب
عدم المساواة,0.406,غضب
إزعاج,0.406,غضب
سكرابي,0.406,غضب
ووب,0.406,غضب
الحجج,0.404,غضب
إهانة,0.403,غضب
جرحي,0.402,غضب
تشهير,0.4,غضب
sodding,0.4,غضب
يزعج,0.4,غضب
احترس,0.398,غضب
بطيء جدا,0.398,غضب
مسعور,0.397,غضب
غير مهتم,0.397,غضب
البارجة,0.396,غضب
عواء,0.394,غضب
NO TRANSLATION,0.394,غضب
ملاكمة,0.394,غضب
صعب المراس,0.394,غضب
إطفاء,0.394,غضب
مقفول,0.394,غضب
