tweet,label,clean_tweet,clean_tweet_no_stop,clean_tweet_lemitized,clean_tweet_stemmed,lexicon_score_anger,lexicon_score_fear,lexicon_score_joy,lexicon_score_sadness
ب اغرد اني العصفور هذاك اللي خذوا عشه وحيد فوق جدر السور وبداني الغيم في رشه بها فزيت ك المذعور من فراشي وفي وششه,fear,ب اغرد اني العصفور هذاك اللي خذوا عشه وحيد فوق جدر السور وبداني الغيم في رشه بها فزيت ك المذعور من فراشي وفي وششه, اغرد اني العصفور هذاك اللي خذوا عشه وحيد  جدر السور وبداني الغيم  رشه  فزيت  المذعور  فراشي وفي وششه,اغرد اني العصفور هذاك اللي خذوا عشه وحيد جدر السور وبداني الغيم رشه فزيت المذعور فراشي وفي وششه,غرد اني عصفور هذك الل خذا عشه وحد جدر سور وبد غيم رشه فزت ذعر فرش وفي وشش,0.5920000000000001,0.953,0.25,0.0
انتو حتى عقولكم ممنوعه من سماع الراي الاخر وممنوعه من قول الحق بدليل مستشاركم الي مسح تغريدته هذا مب خوف وترهيب للشعب,fear,انتو حتى عقولكم ممنوعه من سماع الراي الاخر وممنوعه من قول الحق بدليل مستشاركم الي مسح تغريدته هذا مب خوف وترهيب للشعب,انتو  عقولكم ممنوعه  سماع الراي الاخر وممنوعه  قول الحق بدليل مستشاركم الي مسح تغريدته  مب خوف وترهيب للشعب,انتو عقولكم ممنوعه سماع الراي الاخر وممنوعه قول الحق بدليل مستشاركم الي مسح تغريدته مب خوف وترهيب للشعب,نتو عقل منع سمع راي اخر منع قول لحق دلل شار الي مسح غرد مب خوف رهب شعب,1.5,2.1399999999999997,0.25,0.0
@O_8ee \nكفي يانفسي عن الوسواس وانكفي \nوابليس لايدخلك و الشك يحلالي\n\nلو اني اعرف صدور الناس وش تخفي \nثلثين عمري بتمه عايش لحالي,fear, كفي يانفسي عن الوسواس وانكفي وابليس لايدخلك و الشك يحلاليلو اني اعرف صدور الناس وش تخفي ثلثين عمري بتمه عايش لحالي, كفي يانفسي  الوسواس وانكفي وابليس لايدخلك  الشك يحلاليلو اني اعرف صدور الناس وش تخفي ثلثين عمري بتمه عايش لحالي,كفي يانفسي الوسواس وانكفي وابليس لايدخلك الشك يحلاليلو اني اعرف صدور الناس وش تخفي ثلثين عمري بتمه عايش لحالي,كفي نفس سوس نكف بلس دخل الش يحلاليلو اني عرف صدر ناس وش تخف ثلث عمر بتم عيش لحل,0.0,0.0,0.0,0.0
"حزين ولست حزين على حزني إنني أفخر بهذا الحزن الذي يملئ صدري أفخر لأنه الهدية الآخيرة التي بقيت لي بعد الراحلين """,fear,حزين ولست حزين على حزني إنني أفخر بهذا الحزن الذي يملئ صدري أفخر لأنه الهدية الآخيرة التي بقيت لي بعد الراحلين ,حزين ولست حزين  حزني إنني أفخر بهذا الحزن  يملئ صدري أفخر لأنه الهدية الآخيرة  بقيت   الراحلين ,حزين ولست حزين حزني إنني أفخر بهذا الحزن يملئ صدري أفخر لأنه الهدية الآخيرة بقيت الراحلين,حزن ولس حزن حزن انن فخر بهذا حزن ملئ صدر فخر لأن هدة خير بقت رحل,0.0,1.5,1.501,3.4560000000000004
احتاج افرغ غضبي على احد بس محد له ذنب فلذلك اتطرق للانعزال,fear,احتاج افرغ غضبي على احد بس محد له ذنب فلذلك اتطرق للانعزال,احتاج افرغ غضبي  احد  محد  ذنب فلذلك اتطرق للانعزال,احتاج افرغ غضبي احد محد ذنب فلذلك اتطرق للانعزال,حاج فرغ غضب احد محد ذنب لذل طرق عزل,0.9640000000000001,0.0,0.0,0.703
أنا إنسان #ضائع هنا أتحدث عن أوجاعي وربما سأتحدث عن أوجاع غيري ستكون كمية كبيرة من السلبية موجودة هنا ولكنها تمثل حال الكثير,fear,أنا إنسان  ضائع هنا أتحدث عن أوجاعي وربما سأتحدث عن أوجاع غيري ستكون كمية كبيرة من السلبية موجودة هنا ولكنها تمثل حال الكثير, إنسان  ضائع  أتحدث  أوجاعي وربما سأتحدث  أوجاع غيري ستكون كمية كبيرة  السلبية موجودة  ولكنها تمثل حال الكثير,إنسان ضائع أتحدث أوجاعي وربما سأتحدث أوجاع غيري ستكون كمية كبيرة السلبية موجودة ولكنها تمثل حال الكثير,انس ضئع حدث وجع ورب أتحدث وجع غير ستكون كمة كبر سلب وجد ولك مثل حال كثر,0.431,0.609,0.0,1.553
@eyad1949 انا ايضا لست جنرالا ، لكن إرسال التعزيرات ممكن يكون لمواجهة مخاوف وتهديدات قادمة من الجنوب ، والله اعلم,fear, انا ايضا لست جنرالا  لكن إرسال التعزيرات ممكن يكون لمواجهة مخاوف وتهديدات قادمة من الجنوب  والله اعلم, انا ايضا  جنرالا   إرسال التعزيرات ممكن يكون لمواجهة مخاوف وتهديدات قادمة  الجنوب  والله اعلم,انا ايضا جنرالا إرسال التعزيرات ممكن يكون لمواجهة مخاوف وتهديدات قادمة الجنوب والله اعلم,انا ايض جنرال رسل عزر مكن يكون واج خاف هدد قدم جنب ولل علم,0.818,0.7340000000000001,0.212,0.0
صارلي شي مية سنة مشلوحه بهالدكان ، ضجرت مني الحيطان و مستحيه تقول\n*القعدة في الاوضة بين الكتب و الملازم*,fear,صارلي شي مية سنة مشلوحه بهالدكان  ضجرت مني الحيطان و مستحيه تقولالقعدة في الاوضة بين الكتب و الملازم,صارلي شي مية سنة مشلوحه بهالدكان  ضجرت مني الحيطان  مستحيه تقولالقعدة  الاوضة  الكتب  الملازم,صارلي شي مية سنة مشلوحه بهالدكان ضجرت مني الحيطان مستحيه تقولالقعدة الاوضة الكتب الملازم,صرل شي مية سنة شلح هلد ضجر مني حيط حيه تقولالقعدة اوض كتب لزم,0.0,0.0,0.0,0.484
ما راح اسمح لنفسي اظل جبانة هذي هي خطوتي الاولى وراح اتحمل نتيجتها على الرغم من الخوف اللي يقبع داخلي,fear,ما راح اسمح لنفسي اظل جبانة هذي هي خطوتي الاولى وراح اتحمل نتيجتها على الرغم من الخوف اللي يقبع داخلي,  اسمح لنفسي اظل جبانة   خطوتي الاولى وراح اتحمل نتيجتها  الرغم  الخوف اللي يقبع داخلي,اسمح لنفسي اظل جبانة خطوتي الاولى وراح اتحمل نتيجتها الرغم الخوف اللي يقبع داخلي,سمح نفس اظل جبن خطت ولى ورح حمل نتج رغم خوف الل قبع دخل,1.1,0.828,0.0,0.0
لو لا تنام يداي المرتجفة إلا في يديك لو لا أخاف أن يخدش أمانها ارتجاف قلبي إن رأت أيدي سواها,fear,لو لا تنام يداي المرتجفة إلا في يديك لو لا أخاف أن يخدش أمانها ارتجاف قلبي إن رأت أيدي سواها,  تنام يداي المرتجفة   يديك   أخاف  يخدش أمانها ارتجاف قلبي  رأت أيدي سواها,تنام يداي المرتجفة يديك أخاف يخدش أمانها ارتجاف قلبي رأت أيدي سواها,تنم يدي رجف يدك اخف خدش امن رجف قلب رأت ايد سوا,0.0,0.0,1.183,0.0
تقارير #شبيغل #الالمانية عن #الموصل موجعة حد الحقد الذي يفوق كل وصف!,fear,تقارير  شبيغل  الالمانية عن  الموصل موجعة حد الحقد الذي يفوق كل وصف,تقارير  شبيغل  الالمانية   الموصل موجعة حد الحقد  يفوق  وصف,تقارير شبيغل الالمانية الموصل موجعة حد الحقد يفوق وصف,قرر شبيغل لمن وصل وجع حد حقد يفق وصف,0.0,0.0,0.0,0.531
شيء ما يقوم بإشعال فتيل الرهبة في قلبي كلما تعلق الموضوع بالحب #شهد,fear,شيء ما يقوم بإشعال فتيل الرهبة في قلبي كلما تعلق الموضوع بالحب  شهد,شيء  يقوم بإشعال فتيل الرهبة  قلبي  تعلق الموضوع بالحب  شهد,شيء يقوم بإشعال فتيل الرهبة قلبي تعلق الموضوع بالحب شهد,شيء يقم إشعال فتل رهب قلب علق وضع لحب شهد,0.0,0.0,0.547,0.0
#حسرة كم كنت اتمنى ان تعيشي هذا اليوم معي في جو عائلي كما كنت في السابق اسرد لكي كل المستجدات لتفاصيل يومي وعائلتي,fear, حسرة كم كنت اتمنى ان تعيشي هذا اليوم معي في جو عائلي كما كنت في السابق اسرد لكي كل المستجدات لتفاصيل يومي وعائلتي, حسرة  كنت اتمنى ان تعيشي  اليوم معي  جو عائلي  كنت  السابق اسرد   المستجدات لتفاصيل يومي وعائلتي,حسرة كنت اتمنى ان تعيشي اليوم معي جو عائلي كنت السابق اسرد المستجدات لتفاصيل يومي وعائلتي,حسر كنت منى ان تعش اليوم معي جو عئل كنت سبق سرد سجد فصل يوم وعل,0.43700000000000006,0.297,0.0,0.469
ياربي لا انا بنته ولا يقرب لي وبموت من التوتر يارب صبر اهله وبشرهم برجوعه لهم وعوض صبرهم بفرح يارب #HomaidanAlTurki,fear,ياربي لا انا بنته ولا يقرب لي وبموت من التوتر يارب صبر اهله وبشرهم برجوعه لهم وعوض صبرهم بفرح يارب  ,ياربي  انا بنته  يقرب  وبموت  التوتر يارب  اهله وبشرهم برجوعه  وعوض صبرهم بفرح يارب  ,ياربي انا بنته يقرب وبموت التوتر يارب اهله وبشرهم برجوعه وعوض صبرهم بفرح يارب,يرب انا بنت قرب بمو وتر يرب اهل بشر رجع وعض صبر فرح يرب,0.0,0.0,1.476,0.0
يارب تطلع النتيجة الي فيها خير بموت من التوتر💔💔,fear,يارب تطلع النتيجة الي فيها خير بموت من التوتر,يارب تطلع النتيجة الي  خير بموت  التوتر,يارب تطلع النتيجة الي خير بموت التوتر,يرب طلع نتج الي خير بمت وتر,0.0,0.0,0.469,0.0
@Mwjrdocoe8389 كلزق يارافضي انت عار العراق انتم كلكم دجاج .. لايمكنك اشعال الفتنة بينن دول الخليج والعراق 😡,fear, كلزق يارافضي انت عار العراق انتم كلكم دجاج  لايمكنك اشعال الفتنة بينن دول الخليج والعراق , كلزق يارافضي انت عار العراق انتم كلكم دجاج  لايمكنك اشعال الفتنة بينن دول الخليج والعراق ,كلزق يارافضي انت عار العراق انتم كلكم دجاج لايمكنك اشعال الفتنة بينن دول الخليج والعراق,كلزق رفض انت عار عرق نتم كلكم دجج ليم شعل فتن بين دول خلج عرق,1.8559999999999999,2.064,0.0,2.309
أكره الأشياء اللي تنعاد في رأسي أكثر من ألف مرة وتسبب لي #قلق #ارق #اضطراب,fear,أكره الأشياء اللي تنعاد في رأسي أكثر من ألف مرة وتسبب لي  قلق  ارق  اضطراب,أكره الأشياء اللي تنعاد  رأسي    مرة وتسبب   قلق  ارق  اضطراب,أكره الأشياء اللي تنعاد رأسي مرة وتسبب قلق ارق اضطراب,اكر شيء الل نعد رأس مرة سبب قلق ارق ضطراب,0.0,0.578,0.0,0.6409999999999999
@3alyoum التوسل والخوف اللي صابها ماشفته حتى بالافلام دامها ماهي على غلط ليه كل الهستيريا والرعب اللي اصابها ؟؟,fear, التوسل والخوف اللي صابها ماشفته حتى بالافلام دامها ماهي على غلط ليه كل الهستيريا والرعب اللي اصابها , التوسل والخوف اللي صابها ماشفته  بالافلام دامها ماهي  غلط ليه  الهستيريا والرعب اللي اصابها ,التوسل والخوف اللي صابها ماشفته بالافلام دامها ماهي غلط ليه الهستيريا والرعب اللي اصابها,وسل خوف الل صاب اشف فلم دام اهي غلط ليه هستير رعب الل اصب,1.25,1.751,0.0,0.7190000000000001
المشكله عندي فطور رياجيل بس انا اذا صار عندي شغل يجيني قلق والنوم مايجيني مدري وش السواه 😬,fear,المشكله عندي فطور رياجيل بس انا اذا صار عندي شغل يجيني قلق والنوم مايجيني مدري وش السواه ,المشكله عندي فطور رياجيل  انا اذا  عندي شغل يجيني قلق والنوم مايجيني مدري وش السواه ,المشكله عندي فطور رياجيل انا اذا عندي شغل يجيني قلق والنوم مايجيني مدري وش السواه,شكل عند فطر رياجيل انا اذا عند شغل يجي قلق نوم ايج دري وش سوه,0.0,0.578,0.0,0.6409999999999999
هذا الفريق كان يلعب برديف عشان الدوري الاوربي بكرا بيحاولون يثبتون حالهم انا واثق في مدريد بس التوتر ما بيروح قبل مباراة ملقا ☹️ 💔,fear,هذا الفريق كان يلعب برديف عشان الدوري الاوربي بكرا بيحاولون يثبتون حالهم انا واثق في مدريد بس التوتر ما بيروح قبل مباراة ملقا  , الفريق  يلعب برديف عشان الدوري الاوربي بكرا بيحاولون يثبتون حالهم انا واثق  مدريد  التوتر  بيروح  مباراة ملقا  ,الفريق يلعب برديف عشان الدوري الاوربي بكرا بيحاولون يثبتون حالهم انا واثق مدريد التوتر بيروح مباراة ملقا,فرق لعب ردف عشن دور ورب بكر حول يثب حال انا وثق درد وتر يرح برا لقا,0.0,0.0,0.531,0.0
كم اتمني ان اقتل هذا الفتي بداخلي\nفأنه دائما ينظر للبريق بأعين مرتجفة\nالعروق اخترقت صلبة عينيه حتي تحولت الي سيول من الدماء,fear,كم اتمني ان اقتل هذا الفتي بداخليفأنه دائما ينظر للبريق بأعين مرتجفةالعروق اخترقت صلبة عينيه حتي تحولت الي سيول من الدماء, اتمني ان اقتل  الفتي بداخليفأنه دائما ينظر للبريق بأعين مرتجفةالعروق اخترقت صلبة عينيه حتي تحولت الي سيول  الدماء,اتمني ان اقتل الفتي بداخليفأنه دائما ينظر للبريق بأعين مرتجفةالعروق اخترقت صلبة عينيه حتي تحولت الي سيول الدماء,اتم ان قتل فتي بداخليفأنه دائ نظر برق بأع مرتجفةالعروق خرق صلب عين حتي تحل الي سيل دمء,1.798,3.041,0.0,1.7030000000000003
مرهق يا أمي و مذعور أيضا,fear,مرهق يا أمي و مذعور أيضا,مرهق  أمي  مذعور ,مرهق أمي مذعور,رهق امي ذعر,0.5920000000000001,0.953,0.0,0.0
هذا كله خوف النوفلي من اغلاق القسم لانه الكثير الآن يتردد من الالتحاق بهذا التخصص بسبب تكدسهم في البيوت من دون عمل,fear,هذا كله خوف النوفلي من اغلاق القسم لانه الكثير الآن يتردد من الالتحاق بهذا التخصص بسبب تكدسهم في البيوت من دون عمل, كله خوف النوفلي  اغلاق القسم لانه الكثير  يتردد  الالتحاق بهذا التخصص بسبب تكدسهم  البيوت   عمل,كله خوف النوفلي اغلاق القسم لانه الكثير يتردد الالتحاق بهذا التخصص بسبب تكدسهم البيوت عمل,كله خوف وفل غلق قسم لنه كثر ردد لحق بهذا خصص سبب كدس بيت عمل,0.5,0.828,0.297,0.0
ايه يارب اللي بيحصل فينا ده ليه احنا بس اللي بندفع تمن ثورتنا ظلم وقهر غربه وسجن ومرض \n#وجع\n😓😓,fear,ايه يارب اللي بيحصل فينا ده ليه احنا بس اللي بندفع تمن ثورتنا ظلم وقهر غربه وسجن ومرض  وجع,ايه يارب اللي بيحصل فينا ده ليه احنا  اللي بندفع تمن ثورتنا ظلم وقهر غربه وسجن ومرض  وجع,ايه يارب اللي بيحصل فينا ده ليه احنا اللي بندفع تمن ثورتنا ظلم وقهر غربه وسجن ومرض وجع,ايه يرب الل حصل فين ده ليه احن الل دفع تمن ثور ظلم قهر غرب وسج مرض وجع,0.944,1.376,0.242,2.1710000000000003
#فوبيا_عندك_من الجن في خوف من البيت لحالي لو يتحرك منديل من الكيف قلت جني ووقف شعر راسي 👹,fear, فوبياعندكمن الجن في خوف من البيت لحالي لو يتحرك منديل من الكيف قلت جني ووقف شعر راسي , فوبياعندكمن الجن  خوف  البيت لحالي  يتحرك منديل  الكيف قلت جني ووقف شعر راسي ,فوبياعندكمن الجن خوف البيت لحالي يتحرك منديل الكيف قلت جني ووقف شعر راسي,فوبياعندكمن الج خوف بيت لحل تحر ندل كيف قلت جني وقف شعر رسي,0.5,1.263,0.0,0.297
